,總指數,一.食物類,二.衣著類,三.居住類,四.交通及通訊類,五.醫藥保健類,六.教養娛樂類,七.雜項類
2014-M10,95.66,89.83,105.84,97.68,101.69,94.3,98.46,89.53
2014-M11,94.78,88.35,103.11,97.57,100.45,94.44,97.38,89.75
2014-M12,94.46,88.74,100.46,97.34,98.3,94.34,97.36,89.86
2015-M1,93.3,88.45,96.92,94.87,96.1,94.45,97.16,89.99
2015-M2,93.62,87.26,93.09,95.02,96.74,94.38,99.52,94.09
2015-M3,93.41,87.09,91.38,96.76,97.0,94.62,97.52,90.41
2015-M4,93.84,87.39,102.44,96.16,97.18,94.44,98.1,90.41
2015-M5,94.07,87.56,100.76,96.5,98.32,94.36,98.07,90.44
2015-M6,94.72,88.41,98.48,97.88,98.07,94.57,98.77,90.82
2015-M7,94.62,88.06,95.68,98.03,97.67,94.71,99.86,90.14
2015-M8,95.21,91.06,93.09,98.0,96.58,94.7,99.67,90.23
2015-M9,95.87,94.21,92.21,97.95,95.86,94.98,98.67,90.57
2015-M10,95.95,94.42,104.61,96.38,96.38,94.89,98.66,89.53
2015-M11,95.29,92.99,102.35,96.49,95.51,94.84,97.74,90.33
2015-M12,94.58,91.4,99.6,96.51,94.42,95.06,97.53,90.65
2016-M1,94.05,90.86,95.37,96.37,93.26,95.0,97.55,90.2
2016-M2,95.88,94.65,92.33,96.37,93.55,95.02,100.12,95.18
2016-M3,95.29,94.61,91.41,96.4,94.47,95.26,97.65,91.36
2016-M4,95.6,94.35,102.61,95.7,94.86,95.64,98.27,91.41
2016-M5,95.23,92.66,100.79,95.71,96.12,95.44,98.2,91.91
2016-M6,95.57,92.44,98.43,97.15,96.64,95.49,98.24,92.3
2016-M7,95.79,92.92,96.02,97.21,96.42,95.42,99.66,91.74
2016-M8,95.75,93.44,94.12,97.21,95.96,95.65,99.35,91.62
2016-M9,96.19,95.03,93.44,97.28,96.07,95.56,98.78,92.31
2016-M10,97.58,99.36,105.49,96.08,96.68,95.68,98.84,91.36
2016-M11,97.17,98.95,102.73,96.13,95.98,95.86,97.89,91.59
2016-M12,96.18,95.47,100.21,96.13,96.87,95.89,97.79,91.72
2017-M1,96.16,93.56,95.52,96.38,97.65,95.93,99.32,95.43
2017-M2,95.82,93.93,92.57,96.43,97.48,96.28,98.64,92.26
2017-M3,95.46,92.98,91.77,96.59,97.17,96.63,98.1,92.52
2017-M4,95.69,92.08,101.78,96.62,97.1,97.04,98.51,93.2
2017-M5,95.8,92.62,100.54,96.65,96.69,97.35,98.48,93.56
2017-M6,96.53,94.47,98.77,98.07,96.23,97.4,98.76,92.33
2017-M7,96.53,94.06,95.98,98.08,96.52,97.4,99.97,92.26
2017-M8,96.67,94.69,92.92,98.27,96.94,97.46,99.71,92.25
2017-M9,96.66,94.83,92.26,98.46,97.16,97.56,98.64,93.07
2017-M10,97.26,95.51,104.95,97.32,97.79,97.43,98.96,94.35
2017-M11,97.5,96.3,102.61,97.41,98.43,97.45,98.22,95.56
2017-M12,97.35,95.53,100.47,97.4,98.51,97.56,98.48,96.87
2018-M1,97.02,94.33,97.31,97.38,99.26,97.63,97.88,97.34
2018-M2,97.93,94.84,94.25,97.46,99.68,97.9,100.44,100.5
2018-M3,96.98,94.2,93.39,97.52,98.99,97.89,98.42,97.99
2018-M4,97.61,94.57,101.83,97.59,99.32,98.08,98.74,98.28
2018-M5,97.48,94.27,100.02,97.76,99.19,97.63,98.67,98.45
2018-M6,97.88,94.35,98.41,98.98,99.56,98.14,99.26,98.61
2018-M7,98.22,94.91,96.24,99.0,100.73,98.5,100.46,98.14
2018-M8,98.16,95.41,94.25,99.08,100.66,98.56,100.27,97.6
2018-M9,98.32,97.18,93.97,99.21,99.95,98.47,98.94,97.79
2018-M10,98.39,96.93,103.05,98.17,100.22,98.38,99.06,97.1
2018-M11,97.78,95.85,101.48,98.14,99.07,98.32,98.1,97.39
2018-M12,97.29,94.93,99.28,98.1,97.5,98.24,98.29,97.78
2019-M1,97.19,95.09,95.73,98.02,97.69,98.51,98.24,97.83
2019-M2,98.14,95.65,92.97,98.29,98.26,98.61,100.52,100.91
2019-M3,97.52,95.57,92.79,98.4,98.25,98.92,98.65,98.52
2019-M4,98.25,95.85,99.9,98.5,99.09,98.72,99.93,98.61
2019-M5,98.39,96.7,98.98,98.63,99.07,98.54,99.67,98.54
2019-M6,98.71,97.5,97.02,99.62,98.37,98.85,100.16,98.67
2019-M7,98.6,96.5,95.07,99.55,99.37,99.06,101.13,98.25
2019-M8,98.58,97.65,93.49,99.54,98.2,99.35,100.62,98.37
2019-M9,98.73,99.08,93.1,99.57,97.23,99.36,99.82,98.9
2019-M10,98.75,98.52,104.15,98.5,97.03,99.15,99.97,98.24
2019-M11,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-M12,98.41,97.76,99.99,98.56,97.27,99.25,99.38,98.61
2020-M1,99.0,97.54,96.87,98.76,98.11,99.46,101.19,101.09
2020-M2,97.94,97.35,94.81,98.76,96.02,99.35,99.02,99.11
2020-M3,97.5,97.12,93.76,98.82,94.02,99.65,98.28,99.28
2020-M4,97.3,97.07,101.59,98.63,90.63,99.64,98.13,99.2
2020-M5,97.2,97.0,99.74,98.63,90.62,99.59,97.92,99.39
2020-M6,97.98,97.46,98.5,99.74,92.81,100.09,98.6,99.71
2020-M7,98.1,97.26,96.66,99.69,94.3,99.94,99.06,99.75
2020-M8,98.25,97.82,95.14,99.76,94.52,100.09,99.21,99.86
2020-M9,98.16,98.36,94.47,99.76,93.99,100.01,98.4,99.8
2020-M10,98.49,98.24,104.17,98.78,94.71,99.75,98.91,99.43
2020-M11,98.44,98.03,102.23,98.83,95.5,99.88,98.54,99.44
2020-M12,98.45,98.07,101.19,98.94,96.04,99.8,98.44,99.3
2021-M1,98.81,98.72,98.83,99.04,97.57,99.93,98.48,99.68
2021-M2,99.29,97.74,96.15,99.38,98.29,99.83,100.92,101.93
2021-M3,98.69,97.62,95.61,99.52,98.55,100.08,98.97,99.73
2021-M4,99.35,97.68,102.98,99.52,99.19,100.04,99.87,100.05
2021-M5,99.58,98.62,102.36,99.57,99.28,99.75,99.59,100.38
2021-M6,99.77,99.58,100.84,99.64,99.97,99.55,99.57,99.92
2021-M7,99.97,99.64,98.64,100.21,100.83,99.77,99.87,99.9
2021-M8,100.55,101.57,97.08,100.99,100.64,100.25,100.3,99.75
2021-M9,100.71,101.84,95.99,101.04,100.76,100.22,101.2,99.7
2021-M10,101.0,102.14,105.09,100.21,101.55,99.9,100.61,99.17
2021-M11,101.24,102.63,103.72,100.41,102.42,100.16,100.13,99.64
2021-M12,101.04,102.23,102.73,100.46,100.95,100.51,100.48,100.15
2022-M1,101.61,102.39,100.13,100.74,102.68,100.32,100.52,102.41
